t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,5000000000000000.0,1.1961938e+37,0.001,3.283333416370103e-05,1.0471975511965976,0.001,9.380952618200294e-06,0.001,1.6209179047435237e-05,300000000000000.0,50,52000000000000.0
1.3,4972112600000000.0,1.8088489e+36,2.3097183823992617,1.3871831778859303e-08,-416.8125514601588,0.9700451749831485,9.57137324100295e-09,1.3848731606723843,1.1584278167264048e-08,300000000000000.0,50,52000000000000.0
1.5,4967804300000000.0,1.7841873e+36,2.3955344440801416,1.3285713141411656e-08,-416.82206739998423,1.0287882920231066,9.009235970581665e-09,1.456248491573865,1.099743279788065e-08,300000000000000.0,50,52000000000000.0
1.8,4961463900000000.0,1.7506588e+36,2.5178313507728047,1.2520201910336284e-08,-416.83527743677985,1.1109339549589374,8.321778316713858e-09,1.5569950356022961,1.0259594769796711e-08,300000000000000.0,50,52000000000000.0
2.1,4955249500000000.0,1.7216745e+36,2.633424443328767,1.1862763896593221e-08,-416.84740616178095,1.1872308429040634,7.767476477446337e-09,1.6513886264313378,9.648929711450157e-09,300000000000000.0,50,52000000000000.0
2.5,4947180100000000.0,1.6836659e+36,2.7786607983270715,1.1115376794351213e-08,-416.86218580151467,1.281665415186048,7.171672665135088e-09,1.7691220653573079,8.977417038524536e-09,300000000000000.0,50,52000000000000.0
3.0,4937443900000000.0,1.6038988e+36,2.948139666276289,1.0338260717083386e-08,-416.87882929543474,1.3903392561645453,6.585204484202568e-09,1.905616812631944,8.30171526907875e-09,300000000000000.0,50,52000000000000.0
3.6,4926206600000000.0,1.6044848e+36,3.136913996600037,9.573536957989253e-09,-416.89666297027736,1.5099868326848818,6.035869458469434e-09,2.056894893167644,7.656215886053654e-09,300000000000000.0,50,52000000000000.0
4.3,4913613100000000.0,1.5701439e+36,3.3406865154442613,8.847296260036001e-09,-416.91514655643243,1.6379849694490276,5.535800883981475e-09,2.219656429926651,7.058590364609594e-09,300000000000000.0,50,52000000000000.0
5.2,4898121600000000.0,1.5283087e+36,3.581658108638267,8.097918057829597e-09,-416.936063237653,1.7883360780206532,5.038454615775478e-09,2.4118069117911087,6.455316430567488e-09,300000000000000.0,50,52000000000000.0
6.2,4881720300000000.0,1.4877336e+36,3.8271565219179333,7.434494473643862e-09,-416.9564136720888,1.9408416836421998,4.6114836959271275e-09,2.607550849235461,5.930779851851747e-09,300000000000000.0,50,52000000000000.0
7.5,4861469700000000.0,1.4378704e+36,4.118604793644008,6.753211312349782e-09,-416.97942834329524,2.121489173603294,4.183863271352259e-09,2.8402706454631517,5.3997358621660315e-09,300000000000000.0,50,52000000000000.0
9.0,4839440700000000.0,1.3855159e+36,4.424235886020559,6.139345928031266e-09,-417.0023474850058,2.310874877969691,3.8062869482783e-09,3.0850259253199974,4.926437433589497e-09,300000000000000.0,50,52000000000000.0
11.0,4811869300000000.0,1.356246e+36,4.792266161549997,5.508990588227051e-09,-417.0284522993255,2.5392968137518337,3.4245805843586267e-09,3.381046948774276,4.444095768406517e-09,300000000000000.0,50,52000000000000.0
13.0,4786029300000000.0,1.3264488e+36,5.125256479044553,5.020798152571353e-09,-417.0507965049191,2.746610017751255,3.1321160546005537e-09,3.6503129681422752,4.072102861493313e-09,300000000000000.0,50,52000000000000.0
16.0,4750068900000000.0,1.2591899e+36,5.574540956082069,4.460830665672997e-09,-417.0792074796413,3.027614739704792,2.7989370793787473e-09,4.015994210364674,3.64598240788429e-09,300000000000000.0,50,52000000000000.0
19.0,4717229200000000.0,1.1976194e+36,5.977537897736413,4.036131956620277e-09,-417.1031546312708,3.281129347867976,2.547125667427733e-09,4.346439807951289,3.3224154382599223e-09,300000000000000.0,50,52000000000000.0
23.0,4677357400000000.0,1.1300042e+36,6.46046505766503,3.603594039813432e-09,-417.1301253571466,3.586905110619871,2.2907362446316834e-09,4.745527604854167,2.991744073072259e-09,300000000000000.0,50,52000000000000.0
27.0,4640948300000000.0,1.0729862e+36,6.895398023332751,3.271312862494053e-09,-417.15295083114626,3.8642095572970616,2.093347869290673e-09,5.107843675824798,2.736393162654913e-09,300000000000000.0,50,52000000000000.0
32.0,4599166400000000.0,1.0194961e+36,7.387085532581113,2.9481837040444314e-09,-417.17723446756423,4.179909962064669,1.9006207472094572e-09,5.520680323580179,2.4864730003928625e-09,300000000000000.0,50,52000000000000.0
39.0,4545892300000000.0,9.6126753e+35,8.001480129501036,2.606471585321742e-09,-417.2055274696551,4.577644476747805,1.6954747496109836e-09,6.041211922244118,2.219848500011097e-09,300000000000000.0,50,52000000000000.0
47.0,4490754900000000.0,9.035501e+35,8.623920041662192,2.316195817491242e-09,-417.2320950552659,4.984150894399915,1.5196944882778394e-09,6.573600252939367,1.9909400009647256e-09,300000000000000.0,50,52000000000000.0
56.0,4434390600000000.0,8.4804693e+35,9.248049928374773,2.069516537297668e-09,-417.25683485579617,5.395179811543492,1.3688735677496914e-09,7.112211372259824,1.7942321419071354e-09,300000000000000.0,50,52000000000000.0
67.0,4371636700000000.0,7.9240295e+35,9.928140257803213,1.8409984237595517e-09,-417.2818420450126,5.84672261657949,1.2276855713217288e-09,7.704184426402614,1.6098558659721396e-09,300000000000000.0,50,52000000000000.0
