t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,1000000000000000.0,3.0320245e+36,0.001,1.3141807869139414e-06,1.0471975511965976,0.001,3.7548022483255455e-07,0.001,6.487855168646763e-07,300000000000000.0,50,52000000000000.0
1.3,998614130000000.0,2.8279846e+35,0.2482644295751395,3.0174070952710553e-09,-15.698927713243577,0.17001654830949756,2.2028895347295696e-09,0.22449846767880274,2.882600564661492e-09,300000000000000.0,50,52000000000000.0
1.5,998439720000000.0,2.8203522e+35,0.26668597256111964,2.8079587123557034e-09,-15.699556684020799,0.18343810484321896,2.0409927367482746e-09,0.2420664886992826,2.6724543835209773e-09,300000000000000.0,50,52000000000000.0
1.8,998171380000000.0,2.8129396e+35,0.292137631851303,2.561910430282883e-09,-15.700294722881024,0.20189617822181397,1.8533967693723446e-09,0.2662431656592714,2.4284659725718464e-09,300000000000000.0,50,52000000000000.0
2.1,997897400000000.0,2.8041411e+35,0.315530797659645,2.37064451612516e-09,-15.700867686534457,0.21879345638303435,1.7093161551232716e-09,0.28838824489963394,2.2407489012489127e-09,300000000000000.0,50,52000000000000.0
2.5,997529970000000.0,2.7918571e+35,0.34424143008142605,2.1712847876670905e-09,-15.701464117019281,0.23946356693320883,1.56060193582912e-09,0.31549059385821077,2.046723848348727e-09,300000000000000.0,50,52000000000000.0
3.0,997073300000000.0,2.7800755e+35,0.3770376180287079,1.9806151301509726e-09,-15.702033719661202,0.2630045088825654,1.4196347762035416e-09,0.34637023922335286,1.8625729286320248e-09,300000000000000.0,50,52000000000000.0
3.6,996526840000000.0,2.7693e+35,0.4129362170121585,1.8064440519208793e-09,-15.7025531638227,0.2887071680327455,1.2918364786221915e-09,0.3800975535048494,1.6954464099340316e-09,300000000000000.0,50,52000000000000.0
4.3,995889530000000.0,2.7572331e+35,0.4511796346143185,1.6512024745542253e-09,-15.70301528496901,0.3160318884392493,1.1786328955772282e-09,0.4159638164032671,1.5472765684586342e-09,300000000000000.0,50,52000000000000.0
5.2,995072620000000.0,2.7421447e+35,0.49597449403754235,1.4995969393491438e-09,-15.703465629102526,0.34798130965909696,1.0686595445146353e-09,0.4579107683896942,1.4032287768444442e-09,300000000000000.0,50,52000000000000.0
6.2,994175120000000.0,2.7256493e+35,0.5413430490955535,1.3714313574513866e-09,-15.703845498331649,0.38029295461466067,9.760927719020789e-10,0.5003418922797457,1.2819071604677245e-09,300000000000000.0,50,52000000000000.0
7.5,993025990000000.0,2.7052339e+35,0.5950687415244629,1.2447212159954436e-09,-15.704220146501989,0.41851044769152534,8.849054941660085e-10,0.5505369111483055,1.1623336861846581e-09,300000000000000.0,50,52000000000000.0
9.0,991721450000000.0,2.6820614e+35,0.6514427774592267,1.1340251274076638e-09,-15.70454654574009,0.45857102046482245,8.054848173354332e-10,0.6031600824657064,1.0581456206075094e-09,300000000000000.0,50,52000000000000.0
11.0,990018150000000.0,2.6818002e+35,0.7195757826318245,1.0231311697492954e-09,-15.70487252118872,0.50694597356114,7.261262445272951e-10,0.6667125515597199,9.54001908624078e-10,300000000000000.0,50,52000000000000.0
13.0,988355160000000.0,2.6833401e+35,0.7815975281221964,9.387683336008385e-10,-15.705119705744085,0.5509517206929576,6.658778717169475e-10,0.7245304734578883,8.749143581089698e-10,300000000000000.0,50,52000000000000.0
16.0,985941850000000.0,2.6545076e+35,0.8660057658827199,8.431422978366012e-10,-15.705398960259073,0.6108064301531614,5.977027607153324e-10,0.8031782121930687,7.854002100534825e-10,300000000000000.0,50,52000000000000.0
19.0,983618290000000.0,2.5933086e+35,0.942536406630324,7.710385180351107e-10,-15.705608765438434,0.6650487270811064,5.463719515989051e-10,0.8744561451271204,7.179891775939637e-10,300000000000000.0,50,52000000000000.0
23.0,980646730000000.0,2.5454436e+35,1.035346712856634,6.976816083842383e-10,-15.705821449213394,0.7308041830533103,4.942083773742544e-10,0.9608677117745312,6.494737462596092e-10,300000000000000.0,50,52000000000000.0
27.0,977799370000000.0,2.4907781e+35,1.1200133212382428,6.411973683841521e-10,-15.705984608511255,0.7907711916861488,4.5408002831110753e-10,1.0396758617400779,5.967595172092107e-10,300000000000000.0,50,52000000000000.0
32.0,974392450000000.0,2.4265291e+35,1.2169925467856502,5.860057426728021e-10,-15.706143471052172,0.8594419213099375,4.1489849315266064e-10,1.1299254412444788,5.452839016230332e-10,300000000000000.0,50,52000000000000.0
39.0,969869660000000.0,2.3447653e+35,1.3400880319765436,5.272433098343763e-10,-15.706311905028242,0.9465854114095897,3.73210140353625e-10,1.2444562320248775,4.905098017571635e-10,300000000000000.0,50,52000000000000.0
47.0,965012550000000.0,2.2639708e+35,1.4670005970856161,4.76825327309163e-10,-15.706455835776746,1.0364131645171049,3.3746266059323036e-10,1.3625181419153851,4.435375847854046e-10,300000000000000.0,50,52000000000000.0
56.0,959884160000000.0,2.185112e+35,1.5964940521167317,4.335016761620184e-10,-15.706579032890058,1.1280533467253748,3.0675922620344506e-10,1.4829647387925553,4.031907151526815e-10,300000000000000.0,50,52000000000000.0
67.0,954015290000000.0,2.1007948e+35,1.7401513328084883,3.928691501314737e-10,-15.706694160926226,1.2297039898458684,2.7797368422496325e-10,1.6165708635816631,3.653621829812666e-10,300000000000000.0,50,52000000000000.0
80.0,947557980000000.0,2.0158048e+35,1.8940371798969813,3.5608051483579e-10,-15.706798043176553,1.3385805263077826,2.5191941118812057e-10,1.7596765771072298,3.311214822370235e-10,300000000000000.0,50,52000000000000.0
96.0,940240020000000.0,1.9292908e+35,2.0653714723681276,3.215234808164664e-10,-15.70689541783097,1.4597910472395748,2.2745196575885396e-10,1.9189958926821409,2.989650498689926e-10,300000000000000.0,50,52000000000000.0
120.0,930315420000000.0,1.8967686e+35,2.294541081421181,2.8333260773613486e-10,-15.707002849160897,1.6219034017987484,2.0041813860891563e-10,2.1320791357437123,2.6343456920698306e-10,300000000000000.0,50,52000000000000.0
140.0,922800880000000.0,1.852005e+35,2.466206604223174,2.59363370598955e-10,-15.707070197914343,1.7433299922117926,1.834544109140873e-10,2.2916857474335037,2.411386209131325e-10,300000000000000.0,50,52000000000000.0
170.0,912498690000000.0,1.7727073e+35,2.699003478810813,2.3173100582368132e-10,-15.707147785058101,1.9079891749869728,1.6390092461768475e-10,2.5081200229821468,2.1543837832070332e-10,300000000000000.0,50,52000000000000.0
200.0,903107090000000.0,1.6938358e+35,2.908864120640305,2.106079270744877e-10,-15.707207045124196,2.056418910999703,1.4895542241759598e-10,2.7032228620390737,1.9579433929272214e-10,300000000000000.0,50,52000000000000.0
240.0,891707310000000.0,1.5943471e+35,3.161479447161324,1.8892292875753176e-10,-15.707267899152646,2.235081744494459,1.336138316145931e-10,2.9380666097965467,1.7562942069408756e-10,300000000000000.0,50,52000000000000.0
290.0,878867050000000.0,1.4745619e+35,3.4439209181256496,1.6846872426859488e-10,-15.707325331319938,2.434832782375563,1.191442661055856e-10,3.2006309486674605,1.5661045936181806e-10,300000000000000.0,50,52000000000000.0
350.0,865050420000000.0,1.3350228e+35,3.745991552550344,1.5006163124509828e-10,-15.707377128211848,2.6484603299894185,1.061238124263931e-10,3.4814364243809472,1.3949605423218008e-10,300000000000000.0,50,52000000000000.0
420.0,850692130000000.0,1.1951317e+35,4.060236371230501,1.3388654503003638e-10,-15.707422808640176,2.8706926284434213,9.468287517847416e-11,3.7735534187654283,1.2445768142020995e-10,300000000000000.0,50,52000000000000.0
500.0,836155340000000.0,1.0703175e+35,4.381254412835911,1.198775743724252e-10,-15.707462677685037,3.0977108046605926,8.477454099600118e-11,4.071962030871453,1.1143373173276054e-10,300000000000000.0,50,52000000000000.0
600.0,820138560000000.0,9.5423289e+34,4.739375160329643,1.0660912878601207e-10,-15.707500761349124,3.3509634788116514,7.539033973603193e-11,4.404855803000839,9.909865862063286e-11,300000000000000.0,50,52000000000000.0
710.0,804528270000000.0,8.5842331e+34,5.091044867251892,9.550556923228135e-11,-15.707532922209646,3.5996509947620137,6.753752658150435e-11,4.73174936857905,8.877647387328035e-11,300000000000000.0,50,52000000000000.0
860.0,785744090000000.0,7.5819274e+34,5.516906747040629,8.406222872111402e-11,-15.707566361162094,3.900801077119451,5.94446365109029e-11,5.127604274692025,7.813867737069125e-11,300000000000000.0,50,52000000000000.0
1100.0,760054450000000.0,6.7369134e+34,6.104603613230328,7.109078422188679e-11,-15.70760481289128,4.316388817923181,5.0271305695429335e-11,5.673885707082955,6.608063653821392e-11,300000000000000.0,50,52000000000000.0
1300.0,741651890000000.0,6.3934661e+34,6.52980402252591,6.328155458335062e-11,-15.70762830218199,4.617065147963691,4.474878424402725e-11,6.069118953963668,5.882144248793978e-11,300000000000000.0,50,52000000000000.0
1500.0,725313900000000.0,5.95356e+34,6.911239893559421,5.718575252936273e-11,-15.707646905072076,4.886792316215939,4.043802048199299e-11,6.423670392248678,5.31550582796061e-11,300000000000000.0,50,52000000000000.0
1800.0,703847750000000.0,5.2342518e+34,7.4206188738328125,5.0153651690525836e-11,-15.707668755222132,5.246990895228957,3.546519424396338e-11,6.897145173972603,4.6618399917815176e-11,300000000000000.0,50,52000000000000.0
2200.0,679300040000000.0,4.3608547e+34,8.011500125395813,4.326864401869277e-11,-15.70769060728969,5.664820286547676,3.059644472046131e-11,7.446375038730727,4.0218537385920746e-11,300000000000000.0,50,52000000000000.0
2600.0,658078060000000.0,3.6754798e+34,8.52697677145353,3.8155749134190553e-11,-15.70770718627177,6.0293273740439,2.6980884060824975e-11,7.925513882263888,3.546595732232431e-11,300000000000000.0,50,52000000000000.0
3100.0,634488290000000.0,3.0542486e+34,9.092132591020528,3.326405482842082e-11,-15.707723195755438,6.428962598137888,2.352177161612178e-11,8.450828345700712,3.091902032444876e-11,300000000000000.0,50,52000000000000.0
3700.0,609051850000000.0,2.7966905e+34,9.68144367305089,2.8789864495668893e-11,-15.707737891002955,6.845677376304994,2.0357915092278837e-11,8.99859384239203,2.6760187587874994e-11,300000000000000.0,50,52000000000000.0
4400.0,585438320000000.0,2.3897202e+34,10.27811238048208,2.5047578891602648e-11,-15.707751047298698,7.267593848814173,1.771162674155126e-11,9.553197077866995,2.3281686657421977e-11,300000000000000.0,50,52000000000000.0
5300.0,562809680000000.0,2.1168083e+34,10.944417556571818,2.1743793344687922e-11,-15.70776403476339,7.738750639303312,1.537542398351466e-11,10.172526200345025,2.021078645229417e-11,300000000000000.0,50,52000000000000.0
6400.0,538024510000000.0,1.8404005e+34,11.647970135006853,1.8661792088415624e-11,-15.707776131989903,8.236244781444194,1.3196061746596084e-11,10.826475585316118,1.7346048670701502e-11,300000000000000.0,50,52000000000000.0
7600.0,505102840000000.0,1.5725117e+34,12.299436838490713,1.5592976508770338e-11,-15.707786093710245,8.696907352848653,1.1026035806655756e-11,11.43201049892179,1.4493581085959696e-11,300000000000000.0,50,52000000000000.0
9200.0,476915150000000.0,1.3626529e+34,13.02648298636695,1.3136564533692638e-11,-15.70779602902934,9.211012646729326,9.289056277039015e-12,12.10779529955751,1.2210346258624458e-11,300000000000000.0,50,52000000000000.0
11000.0,464968490000000.0,1.1651273e+34,13.736610145932152,1.1821753325477925e-11,-15.707804715257623,9.713153651566445,8.359324811946162e-12,12.767853306805739,1.0988227747600884e-11,300000000000000.0,50,52000000000000.0
13200.0,450348750000000.0,1.1072007e+34,14.513549118944885,1.0496536027664605e-11,-15.707813243944264,10.262537647795856,7.422237707199523e-12,13.490011735495099,9.756439864727802e-12,300000000000000.0,50,52000000000000.0
15800.0,434017340000000.0,1.0194446e+34,15.325448134600503,9.23343848174979e-12,-15.707821229940297,10.836641798323228,6.5290789499689675e-12,14.244664600312992,8.582394775192264e-12,300000000000000.0,50,52000000000000.0
18900.0,422281900000000.0,9.6552016e+33,16.184104515453708,8.279842162604062e-12,-15.707828801894316,11.443808147988188,5.854774336769736e-12,15.042777415518266,7.696030436751254e-12,300000000000000.0,50,52000000000000.0
22700.0,419183590000000.0,8.9502233e+33,17.143338947168917,7.700876383511252e-12,-15.707836362598306,12.12209391327527,5.445376552744477e-12,15.93437593920723,7.157882733538713e-12,300000000000000.0,50,52000000000000.0
27200.0,418244260000000.0,8.476309e+33,18.203811040942913,7.2139043708708544e-12,-15.707843794201093,12.87196543814747,5.101029474290965e-12,16.920073188330687,6.7052432522147495e-12,300000000000000.0,50,52000000000000.0
32700.0,410910500000000.0,7.9213923e+33,19.400012227633013,6.5371617036587464e-12,-15.707851201798304,13.71781191114405,4.6224943239860814e-12,18.031928477587517,6.076214984726992e-12,300000000000000.0,50,52000000000000.0
39200.0,394700070000000.0,7.554139e+33,20.6554016255406,5.665539355124277e-12,-15.707858049540993,14.605510430059276,4.006158842865901e-12,19.19879789219593,5.266049589476464e-12,300000000000000.0,50,52000000000000.0
