t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,5000000000000000.0,5.3752508e+37,0.001,3.283333274873497e-05,1.0471975511965976,0.001,9.380952213924275e-06,0.001,1.620917834889399e-05,300000000000000.0,50,52000000000000.0
1.3,4972111200000000.0,1.1695661e+36,2.3097231770001208,1.3871938260980673e-08,-416.812531522358,0.9700450550031826,9.571369046281017e-09,1.3848730064568942,1.1584272947560858e-08,300000000000000.0,50,52000000000000.0
1.5,4967802800000000.0,1.1502503e+36,2.3955398984538863,1.3285815491012768e-08,-416.8220472267769,1.0287881456738976,9.00923179383032e-09,1.4562483043907333,1.0997427548535444e-08,300000000000000.0,50,52000000000000.0
1.8,4961462000000000.0,1.1277233e+36,2.517837744889187,1.2520297826118514e-08,-416.83525694069516,1.1109337657123033,8.321773367707176e-09,1.5569947943392555,1.0259588510403523e-08,300000000000000.0,50,52000000000000.0
2.1,4955247300000000.0,1.1095111e+36,2.633431722939157,1.1862854774636502e-08,-416.84738537334994,1.1872306051215316,7.767471131542154e-09,1.6513883235959945,9.648922907564586e-09,300000000000000.0,50,52000000000000.0
2.5,4947177400000000.0,1.0864709e+36,2.778669188324962,1.111546156252936e-08,-416.8621646627828,1.2816651056020125,7.171666569341081e-09,1.7691216709130981,8.977409241009437e-09,300000000000000.0,50,52000000000000.0
3.0,4937440600000000.0,1.0338315e+36,2.948149346199431,1.0338339180370435e-08,-416.878807770484,1.3903388448763192,6.585197613620591e-09,1.9056162877794505,8.301706438270753e-09,300000000000000.0,50,52000000000000.0
3.6,4926202200000000.0,1.0420136e+36,3.136925092885511,9.573607760036513e-09,-416.89664104088683,1.5099862764769112,6.035860909125619e-09,2.0568941818284605,7.656204869167273e-09,300000000000000.0,50,52000000000000.0
4.3,4913607600000000.0,1.0216953e+36,3.3406991036858287,8.847360218014305e-09,-416.91512421807903,1.637984211228845,5.5357910502191056e-09,2.2196554578367476,7.058577649632258e-09,300000000000000.0,50,52000000000000.0
5.2,4898114600000000.0,9.9812066e+35,3.5816724105950994,8.097974450060953e-09,-416.93604045041553,1.7883350195858048,5.038443199307485e-09,2.4118055509539933,6.455301625405653e-09,300000000000000.0,50,52000000000000.0
6.2,4881711700000000.0,9.7555013e+35,3.827172501442109,7.4345440269916796e-09,-416.95639046291586,1.940840244481917,4.6114708617913615e-09,2.6075489940701972,5.9307631677518014e-09,300000000000000.0,50,52000000000000.0
7.5,4861458700000000.0,9.4823658e+35,4.118622644320255,6.753252589861123e-09,-416.97940467423473,2.1214871670579907,4.183848297890889e-09,2.8402680520282733,5.399716360556476e-09,300000000000000.0,50,52000000000000.0
9.0,4839427200000000.0,9.1969752e+35,4.424255526967443,6.139379916309639e-09,-417.0023233762244,2.310872125005543,3.806270251332338e-09,3.085022358891424,4.9264156491790976e-09,300000000000000.0,50,52000000000000.0
11.0,4811852700000000.0,9.0345206e+35,4.792287718003845,5.509017002257031e-09,-417.0284277145679,2.539292956532436,3.424562182954807e-09,3.3810419404439176,4.4440717211945896e-09,300000000000000.0,50,52000000000000.0
13.0,4786010400000000.0,8.8263771e+35,5.125279559053415,5.020819716879811e-09,-417.0507715375541,2.7466049828758683,3.132097069346805e-09,3.650306419843454,4.072078018809759e-09,300000000000000.0,50,52000000000000.0
16.0,4750048200000000.0,8.4334673e+35,5.574565929064905,4.4608490433063e-09,-417.0791820723577,3.0276079510387595,2.798919062122162e-09,4.015985365281683,3.645958792995179e-09,300000000000000.0,50,52000000000000.0
19.0,4717212200000000.0,8.0948324e+35,5.97756486597749,4.036155888332987e-09,-417.1031289235896,3.2811211230410717,2.547113572882114e-09,4.346429077993276,3.3223995360527587e-09,300000000000000.0,50,52000000000000.0
23.0,4677339200000000.0,7.7475996e+35,6.460494849679803,3.6036146413280663e-09,-417.13009939592905,3.5868953969035453,2.2907247164338644e-09,4.7455149171252975,2.99172891386239e-09,300000000000000.0,50,52000000000000.0
27.0,4640935500000000.0,7.4826977e+35,6.89543074693163,3.271339219368795e-09,-417.15292472819453,3.8641987304852594,2.0933422305904415e-09,5.107829521888368,2.736385707561974e-09,300000000000000.0,50,52000000000000.0
32.0,4599166000000000.0,7.2178611e+35,7.387123332036346,2.948222346335066e-09,-417.17720835398455,4.179899010915624,1.900625386238915e-09,5.520665995559131,2.4864790081835426e-09,300000000000000.0,50,52000000000000.0
39.0,4545908700000000.0,6.9629883e+35,8.00152778130391,2.6065226542418647e-09,-417.20550156975867,4.577635700869251,1.6954902739031939e-09,6.04120043077693,2.219868792477659e-09,300000000000000.0,50,52000000000000.0
47.0,4490795900000000.0,6.7074669e+35,8.623982514437118,2.3162628290180812e-09,-417.232069617981,4.984147620841476,1.5197231432710364e-09,6.573595962589736,1.9909775334334684e-09,300000000000000.0,50,52000000000000.0
56.0,4434452600000000.0,6.4336643e+35,9.248132563936602,2.069591959508247e-09,-417.2568100970126,5.395185761523543,1.3689103028312606e-09,7.112219169033116,1.7942803037178977e-09,300000000000000.0,50,52000000000000.0
67.0,4371720600000000.0,6.1205091e+35,9.928249971810228,1.8410791666551848e-09,-417.2818181848285,5.846742327219807,1.2277283388963977e-09,7.704210270301357,1.6099119736890326e-09,300000000000000.0,50,52000000000000.0
80.0,4304829600000000.0,5.7677458e+35,10.643252888335422,1.6372684520200323e-09,-417.30613759002813,6.325273489702899,1.100389997013952e-09,8.331810575699885,1.44344615841029e-09,300000000000000.0,50,52000000000000.0
96.0,4231431500000000.0,5.3902535e+35,11.423993999067738,1.449197107826557e-09,-417.33062427369,6.851885234950119,9.815151892203976e-10,9.022699340423971,1.2879074327878202e-09,300000000000000.0,50,52000000000000.0
120.0,4134872400000000.0,5.1745381e+35,12.445151922505913,1.245391682480899e-09,-417.3597679806239,7.546416625422255,8.509643568104218e-10,9.934176008955111,1.1169515654594358e-09,300000000000000.0,50,52000000000000.0
140.0,4063517400000000.0,4.9908549e+35,13.19376589282126,1.1198238441807804e-09,-417.37929195889336,8.059263221121764,7.695113732924735e-10,10.607380101449026,1.0102208148758392e-09,300000000000000.0,50,52000000000000.0
170.0,3967972300000000.0,4.7244047e+35,14.188481586412289,9.776177020582225e-10,-417.4031069916042,8.744927836480707,6.762250347456397e-10,11.507609486737167,8.879252839164631e-10,300000000000000.0,50,52000000000000.0
200.0,3883563000000000.0,4.4773873e+35,15.066150955140762,8.711546474052382e-10,-417.4223242212149,9.35342385616893,6.056088265627193e-10,12.30665352734036,7.953108482398755e-10,300000000000000.0,50,52000000000000.0
240.0,3784261400000000.0,4.2025768e+35,16.100685733587678,7.641444185852277e-10,-417.44306592582717,10.074326072728148,5.339159627064691e-10,13.253431465379142,7.012528465538241e-10,300000000000000.0,50,52000000000000.0
290.0,3675967500000000.0,3.9373368e+35,17.231056300810017,6.653943346609113e-10,-417.4636469926039,10.865865809464484,4.670846997235571e-10,14.293108040515554,6.135463427661125e-10,300000000000000.0,50,52000000000000.0
350.0,3563207000000000.0,3.6806259e+35,18.41139585326843,5.785704756869867e-10,-417.4831064470735,11.696004623889232,4.077726016334135e-10,15.383599814216032,5.356876841863758e-10,300000000000000.0,50,52000000000000.0
420.0,3448883200000000.0,3.4501339e+35,19.609955837996566,5.037510697878863e-10,-417.501016196225,12.542080921456632,3.562333193238865e-10,16.495125322322483,4.680180305438532e-10,300000000000000.0,50,52000000000000.0
500.0,3334817800000000.0,3.2351615e+35,20.80473185698407,4.4004109405575454e-10,-417.51724502635415,13.388070366974432,3.120330897150712e-10,17.60661697865095,4.099744456799666e-10,300000000000000.0,50,52000000000000.0
600.0,3208704300000000.0,3.0329436e+35,22.102749822465427,3.801981020514929e-10,-417.5332712191101,14.309546757298762,2.702490227083633e-10,18.81736062940302,3.5509566752529294e-10,300000000000000.0,50,52000000000000.0
710.0,3083407700000000.0,2.9782192e+35,23.339979806391895,3.302063373398694e-10,-417.54718055482914,15.189747442199304,2.3514814346954063e-10,19.973931387530097,3.0898871969750545e-10,300000000000000.0,50,52000000000000.0
860.0,2949487000000000.0,2.6510976e+35,24.793699298893387,2.8233735546873134e-10,-417.56203770056777,16.225827922223424,2.0140443665927432e-10,21.33538774945741,2.6466068618110514e-10,300000000000000.0,50,52000000000000.0
1100.0,2810280100000000.0,2.3302084e+35,26.756342473460972,2.354590003406736e-10,-417.5799059407643,17.62705839735202,1.6824963119191062e-10,23.176754009290168,2.2110340212758672e-10,300000000000000.0,50,52000000000000.0
1300.0,2685183400000000.0,2.3112953e+35,28.146655107820948,2.0322995197155083e-10,-417.59125628443684,18.62093154791676,1.453466047573617e-10,24.48285835490411,1.9101094212225265e-10,300000000000000.0,50,52000000000000.0
1500.0,2530737100000000.0,2.2212762e+35,29.340151152428422,1.728562880892178e-10,-417.60024598244263,19.47472718542691,1.2369479017124285e-10,25.604906112148452,1.625599942127643e-10,300000000000000.0,50,52000000000000.0
1800.0,2391011400000000.0,1.8713062e+35,30.85380415186483,1.4604200979662886e-10,-417.61075854005946,20.55817030618584,1.0456305189196262e-10,27.028784693265855,1.3742010165582984e-10,300000000000000.0,50,52000000000000.0
2200.0,2307839500000000.0,1.7866616e+35,32.587338015204686,1.281251857142173e-10,-417.6217226799045,21.799599737763813,9.1772792871052e-11,28.66032769512821,1.2061335337031377e-10,300000000000000.0,50,52000000000000.0
2600.0,2240254300000000.0,1.6358691e+35,34.12556824678335,1.1486982317794339e-10,-417.63060802871075,22.901516109876063,8.229657176426693e-11,30.108543839978484,1.0816090210961217e-10,300000000000000.0,50,52000000000000.0
3100.0,2151431100000000.0,1.5683164e+35,35.831098003104096,1.0064695842066338e-10,-417.6396468380564,24.123494513337636,7.211573296260773e-11,31.714579756240866,9.47818880417093e-11,300000000000000.0,50,52000000000000.0
3700.0,2087399700000000.0,1.5069474e+35,37.63902671858418,8.998835106552687e-11,-417.6484059927719,25.418938028864662,6.448001447428297e-11,33.41719566473832,8.474744289794907e-11,300000000000000.0,50,52000000000000.0
4400.0,2105793000000000.0,1.3142827e+35,39.59000599740361,8.667778407364592e-11,-417.6570290012143,26.816852510542773,6.21034733045511e-11,35.25451529779022,8.1624967693104e-11,300000000000000.0,50,52000000000000.0
5300.0,2180445900000000.0,1.1826845e+35,42.05660357814387,8.718362393296273e-11,-417.66686448506687,28.58399683184038,6.24540319027767e-11,37.57715577224881,8.208685315943491e-11,300000000000000.0,50,52000000000000.0
6400.0,2260376200000000.0,1.092582e+35,45.07985375685738,8.707517505094453e-11,-417.67754565487905,30.749388431957094,6.235547181889873e-11,40.4232705960955,8.19584393174933e-11,300000000000000.0,50,52000000000000.0
7600.0,2277375300000000.0,9.8246507e+34,48.29166663094731,8.225466714198242e-11,-417.68750700287694,33.04896509793481,5.887815017981407e-11,43.445792181576316,7.738884714510987e-11,300000000000000.0,50,52000000000000.0
9200.0,2207363300000000.0,9.1095692e+34,52.18105225674942,7.137797182168342e-11,-417.6980009449706,35.832278853334884,5.10633889506367e-11,47.10417153022132,6.71179632848618e-11,300000000000000.0,50,52000000000000.0
11000.0,2121742400000000.0,8.5337228e+34,55.963124439577285,6.141350392191134e-11,-417.70685833585645,38.53724673430873,4.390969340794574e-11,50.65960896839493,5.7715615407881116e-11,300000000000000.0,50,52000000000000.0
13200.0,2066151400000000.0,8.1052307e+34,59.984515398535066,5.418638674302139e-11,-417.71509053927656,41.411685831497465,3.871907926040743e-11,54.437831828149335,5.089336760331197e-11,300000000000000.0,50,52000000000000.0
15800.0,2018307500000000.0,7.9626863e+34,64.19615557561616,4.822939368904291e-11,-417.7226372123312,44.42028996368694,3.4441569220520923e-11,58.39243135172744,4.527118241700766e-11,300000000000000.0,50,52000000000000.0
18900.0,1967327800000000.0,7.5620749e+34,68.65910161098027,4.278324722424437e-11,-417.72964830782064,47.606476990391435,3.053381664964406e-11,62.58047581301145,4.013491550339433e-11,300000000000000.0,50,52000000000000.0
22700.0,1907706600000000.0,7.1928602e+34,73.48738610552302,3.7539012151387324e-11,-417.7362942147714,51.051382524731146,2.6774719265010388e-11,67.10861277879523,3.5193969110619516e-11,300000000000000.0,50,52000000000000.0
27200.0,1839367400000000.0,6.8139589e+34,78.4849978533015,3.264082213015858e-11,-417.7423277686166,54.61497285536252,2.326755646628342e-11,71.79277486651648,3.058410919310165e-11,300000000000000.0,50,52000000000000.0
32700.0,1759980000000000.0,6.4007334e+34,83.76247093406005,2.7971615295544133e-11,-417.74792976596456,58.37597065921308,1.992801996658324e-11,76.73643773094327,2.6194535839209366e-11,300000000000000.0,50,52000000000000.0
39200.0,1672753800000000.0,5.9694004e+34,89.08475142168845,2.3742601948895082e-11,-417.7529144537149,62.16686055596093,1.690645816014491e-11,81.71940821287302,2.222288474086887e-11,300000000000000.0,50,52000000000000.0
47000.0,1576405100000000.0,5.548424e+34,94.47278179337602,1.987233066303655e-11,-417.7573946667616,66.0026936465818,1.4143901115464779e-11,86.76146802515481,1.8591655194072656e-11,300000000000000.0,50,52000000000000.0
56400.0,1469676400000000.0,5.0849517e+34,99.86502352989588,1.6329980542579896e-11,-417.76139855550207,69.83980106447933,1.1617725563062183e-11,91.80521410484857,1.527111810180102e-11,300000000000000.0,50,52000000000000.0
67700.0,1350393200000000.0,4.5250279e+34,105.136700104396,1.3086181108581357e-11,-417.7649186030805,73.58960150082716,9.306450279484733e-12,96.73420730341323,1.2233043288664099e-11,300000000000000.0,50,52000000000000.0
81200.0,1222878100000000.0,4.0244258e+34,110.13306076843192,1.0247756475838186e-11,-417.7679447292509,77.1423057777033,7.285474659482054e-12,101.40413103505885,9.576545949701593e-12,300000000000000.0,50,52000000000000.0
97400.0,1097570900000000.0,3.6797928e+34,114.80128201630494,7.918977351736366e-12,-417.7705349863773,80.46066956755399,5.628284757993912e-12,105.76602663592767,7.398225965175184e-12,300000000000000.0,50,52000000000000.0
116900.0,971444920000000.0,3.4369905e+34,119.1021592786821,5.9746251479919165e-12,-417.77274217823884,83.5171096123109,4.245348740981905e-12,109.7836349609539,5.5803995913698386e-12,300000000000000.0,50,52000000000000.0
140300.0,832139250000000.0,2.9254056e+34,122.9047086735268,4.247044458356528e-12,-417.7745650224777,86.21881447918096,3.017194833521318e-12,113.3349563562566,3.9660263718250794e-12,300000000000000.0,50,52000000000000.0
168300.0,697587410000000.0,2.5784905e+34,126.09123668099085,2.914363838708278e-12,-417.7760076396034,88.48243135815248,2.070104143440739e-12,116.31042431613237,2.7211011092639685e-12,300000000000000.0,50,52000000000000.0
202000.0,580486520000000.0,2.4142502e+34,128.70944706748125,1.9760393606658516e-12,-417.7771393848175,90.34206938728668,1.4034294566082713e-12,118.75487336366002,1.8447743782343292e-12,300000000000000.0,50,52000000000000.0
242300.0,466780460000000.0,2.0432017e+34,130.7819910969257,1.256354336803412e-12,-417.7780030091568,91.81397546300359,8.922085500851679e-13,120.68965890076919,1.1727871270072673e-12,300000000000000.0,50,52000000000000.0
